"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.388562010E-1,9.092725813E-2,8.853443712E-2,9.808479309E0,9.809300305E0
6.412631800E-1,9.332008660E-2,7.896314561E-2,9.818050385E0,9.818811393E0
6.436701590E-1,7.417750359E-2,5.742774159E-2,9.823135376E0,9.823583301E0
6.460771380E-1,8.853443712E-2,6.699903309E-2,9.806086540E0,9.806715069E0
6.484841690E-1,1.076770201E-1,7.178468257E-2,9.794121742E0,9.794976676E0
6.508911490E-1,9.092725813E-2,7.417750359E-2,9.765408516E0,9.766113534E0
6.532981280E-1,1.028913707E-1,7.417750359E-2,9.765408516E0,9.766232253E0
6.557051070E-1,9.571290761E-2,6.939185411E-2,9.767801285E0,9.768516680E0
6.581120860E-1,8.614161611E-2,7.657032460E-2,9.770194054E0,9.770873822E0
6.605191170E-1,8.374879509E-2,9.571290761E-2,9.777372360E0,9.778199481E0
6.629260970E-1,8.614161611E-2,9.092725813E-2,9.777372360E0,9.778174595E0
6.653330760E-1,1.196411327E-1,9.571290761E-2,9.786943436E0,9.788142662E0
6.677400550E-1,1.076770201E-1,8.135596663E-2,9.806086540E0,9.807015161E0
6.701470860E-1,1.028913707E-1,7.896314561E-2,9.818050385E0,9.818907025E0
6.725540650E-1,8.853443712E-2,7.896314561E-2,9.820742607E0,9.821459101E0
6.749610440E-1,1.100698411E-1,7.417750359E-2,9.835099220E0,9.835994832E0
6.773680240E-1,1.052841991E-1,8.135596663E-2,9.859027863E0,9.859925656E0
6.797750550E-1,1.196411327E-1,7.657032460E-2,9.842277527E0,9.843302491E0
6.821820340E-1,1.363908947E-1,7.657032460E-2,9.820742607E0,9.821988131E0
6.845890130E-1,1.316052526E-1,6.699903309E-2,9.794121742E0,9.795235041E0
6.869959920E-1,1.244267747E-1,5.982056633E-2,9.779765129E0,9.780739568E0
6.894030240E-1,1.052841991E-1,5.024927482E-2,9.770194054E0,9.770890522E0
6.918100030E-1,1.004985496E-1,4.546362907E-2,9.774979591E0,9.775601921E0
6.942169820E-1,9.810572863E-2,5.982056633E-2,9.774979591E0,9.775654927E0
6.966239610E-1,1.316052526E-1,5.742774159E-2,9.786943436E0,9.787996715E0
6.990309400E-1,1.292124242E-1,7.178468257E-2,9.806086540E0,9.807200524E0
7.014379720E-1,1.148554832E-1,5.742774159E-2,9.818050385E0,9.818890114E0
7.038449510E-1,1.100698411E-1,7.896314561E-2,9.825528145E0,9.826461920E0
7.062519300E-1,1.124626622E-1,6.699903309E-2,9.844670296E0,9.845540612E0
7.086589090E-1,1.339980662E-1,5.982056633E-2,9.854242325E0,9.855334889E0
7.110659400E-1,1.339980662E-1,6.699903309E-2,9.870991707E0,9.872128526E0
7.134729190E-1,1.316052526E-1,5.503492057E-2,9.887741089E0,9.888770026E0
7.158798990E-1,1.387837082E-1,4.307080805E-2,9.849455833E0,9.850527713E0
7.182868780E-1,1.244267747E-1,2.632104978E-2,9.835099220E0,9.835921487E0
7.206939090E-1,1.124626622E-1,3.110669367E-2,9.794121742E0,9.794816802E0
7.231008880E-1,1.220339537E-1,2.871387079E-2,9.777372360E0,9.778176059E0
7.255078670E-1,1.316052526E-1,2.392822690E-2,9.777372360E0,9.778287313E0
7.279148470E-1,1.387837082E-1,2.871387079E-2,9.782157898E0,9.783184479E0
